actor/login,payload/issue/title,payload/issue/user/site_admin,payload/issue/created_at
k8s-merge-robot,ci-kubernetes-e2e-gce-1.4-1.5-upgrade-master: broken test run,False,2016-12-10T01:25:56Z
SparkQA,[SPARK-18998] [SQL] Add a cbo conf to switch between default statistics and estimated statistics,False,2016-12-26T06:20:30Z
AmplabJenkins,[SPARK-18998] [SQL] Add a cbo conf to switch between default statistics and estimated statistics,False,2016-12-26T06:20:30Z
AmplabJenkins,[SPARK-18998] [SQL] Add a cbo conf to switch between default statistics and estimated statistics,False,2016-12-26T06:20:30Z
bbugh,Hide empty folders after apply file exclusions (user settings),False,2015-11-27T19:32:48Z
Tyriar,Identical file name path in tab is too long and difficult to diff,False,2016-09-14T18:21:11Z
DominoTree,Github sign in button on MDN is too tall,False,2016-12-31T16:46:50Z
martinwicke,wide_n_deep model deal with large dataset got ValueError: GraphDef cannot be larger than 2GB.,False,2016-08-15T06:29:30Z
filipesilva,rename index.html will lead that the app is not available,False,2016-12-27T02:51:03Z
k8s-merge-robot,ci-kubernetes-e2e-gke-gci-1.4-gci-1.5-upgrade-cluster: broken test run,False,2016-12-09T11:51:26Z
k8s-merge-robot,ci-kubernetes-e2e-gke-serial: broken test run,False,2016-12-02T08:48:30Z
sethlivingston,Surround a text/word with special characters,False,2015-12-14T19:43:46Z
ypresto,Optimize child_process IPC for large data,False,2016-12-31T16:58:36Z
0x7CFE,Panic when compiling dft library v0.5.3,False,2017-01-01T10:01:37Z
volth,mercurial regression since 16.09: does not read $out/etc/mercurial/hgrc,False,2017-01-01T14:15:44Z
k8s-merge-robot,ci-kubernetes-e2e-gci-gke-autoscaling: broken test run,False,2016-12-02T23:21:26Z
k8s-merge-robot,ci-kubernetes-e2e-gci-gke-reboot-release-1.5: broken test run,False,2016-12-02T09:27:58Z
HyukjinKwon,[SPARK-18922][TESTS] Fix more path-related test failures on Windows,False,2016-12-25T12:44:15Z
KenanY,prepublishOnly should run on `npm pack`,False,2017-01-01T12:24:14Z
ogizanagi,[DependencyInjection] Use current class as default class for factory declarations,False,2016-12-15T18:30:36Z
iamrohit7,Implement Window.getSelection,False,2016-12-31T16:11:14Z
FezVrasta,prepublishOnly should run on `npm pack`,False,2017-01-01T12:24:14Z
k8s-merge-robot,auth: Change union tests to table driven tests,False,2016-10-13T07:28:28Z
FezVrasta,prepublishOnly should run on `npm pack`,False,2017-01-01T12:24:14Z
Thanaton,DNS property is ignored while creating service via compose file,False,2016-12-24T16:24:40Z
gustogummi,$refs should be reactive to be able to use them in computed properties,False,2016-10-03T22:02:47Z
pivotal-issuemaster,Merge pull request #1 from spring-projects/master,False,2017-01-01T16:11:00Z
KenanY,"When i did npm install command, it producing an error in b/w the installation process",False,2017-01-01T04:15:40Z
mention-bot,nixos: provide /etc/hostname,False,2017-01-01T16:12:23Z
hous04,choice_value: Call to a member function non-object,False,2016-12-31T17:48:26Z
